Indicator,Taxonomic Level,"Matching EFG, Biome","Matching EFG, Biome (full name)",Notes,Ecoregions,pallete,Reference,Region
Aegialitis,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Aegiceras,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Avicennia,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Bruguiera,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Ceriops,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Kandelia,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Lumnitzera,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Nypa,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Rhizophora,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Sonneratia,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Xylocarpus,Genus,MFT1.2,Intertidal forests and shrublands,Mangrove,,#89474E,https://www.marinespecies.org/mangroves/,
Calluna vulgaris,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Eriophorum vaginatum,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Ledum palustre,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum rubellum,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Vaccinium oxycoccos,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Aeshna subarctica,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Arethusa bulbosa,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Carex pauciflora,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Eriophorum russeolum,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Kalmia polifolia,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Lycaena epixanthe,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Rhynchospora alba,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Rubus chamaemorus,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sarracenia purpurea,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Scheuchzeria palustris,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Somatochlora arctica,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum balticum,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum capillifolium,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum cuspidatum,Species,TF1.6,"Boreal, temperate and montane peat bogs",,,#C1F195,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
